model,input_dim,parameter_count,estimated_fp32_size_mb,best_epoch,best_val_loss,roc_auc,pr_auc,brier_score,log_loss,recall_at_top_20_pct,precision_at_top_20_pct,model_type,checkpoint_path,checkpoint_size_mb,checkpoint_seed,checkpoint_epochs,checkpoint_learning_rate,best_non_ann_roc_auc_model,roc_auc_delta_vs_best_non_ann,best_non_ann_recall20_model,recall20_delta_vs_best_non_ann,best_non_ann_precision20_model,precision20_delta_vs_best_non_ann
xgboost,,,,,,0.8731627683654571,0.734650808137186,0.09641707688570023,0.3222686086341255,0.6426229508196721,0.6533333333333333,non_ann,,,,,,xgboost,0.0,xgboost,0.0,xgboost,0.0
tiny,13.0,993.0,0.003787994384765625,526.0,0.3492342233657837,0.866514850126895,0.7188178942626022,0.09937077015638351,0.3286204294453732,0.6229508196721312,0.6333333333333333,ann,artifacts/models/tiny.pt,0.33957862854003906,314.0,10000.0,0.001,xgboost,-0.006647918238562145,xgboost,-0.01967213114754096,xgboost,-0.020000000000000018
large,13.0,46849.0,0.17871475219726562,114.0,0.3503884971141815,0.86526373550998,0.7089550121647309,0.10120636224746704,0.3322043069055911,0.6229508196721312,0.6333333333333333,ann,artifacts/models/large.pt,0.5154075622558594,314.0,10000.0,0.001,xgboost,-0.007899032855477106,xgboost,-0.01967213114754096,xgboost,-0.020000000000000018
small,13.0,3009.0,0.011478424072265625,323.0,0.35414600372314453,0.8681198984841211,0.7147494528769647,0.09944555908441544,0.3281739651671494,0.6196721311475409,0.63,ann,artifacts/models/small.pt,0.3472785949707031,314.0,10000.0,0.001,xgboost,-0.005042869881336065,xgboost,-0.022950819672131195,xgboost,-0.023333333333333317
medium,13.0,12161.0,0.046390533447265625,179.0,0.35205844044685364,0.862432265587489,0.705062724962018,0.10142222046852112,0.334038254651249,0.6131147540983607,0.6233333333333333,ann,artifacts/models/medium.pt,0.3826179504394531,314.0,10000.0,0.001,xgboost,-0.010730502777968165,xgboost,-0.02950819672131144,xgboost,-0.030000000000000027
random_forest,,,,,,0.8603772549557583,0.685727381526603,0.1564985928136551,0.4890854831972256,0.6131147540983607,0.6233333333333333,non_ann,,,,,,xgboost,-0.012785513409698801,xgboost,-0.02950819672131144,xgboost,-0.030000000000000027
logistic_regression,,,,,,0.7945455792578366,0.5070445448914133,0.18842526469839246,0.5611210925089101,0.5016393442622951,0.51,non_ann,,,,,,xgboost,-0.0786171891076205,xgboost,-0.14098360655737707,xgboost,-0.1433333333333333
